fit_id,db_name,trial_start,trial_stop,num_trials,script_name,commit,fit_model,ref_model,disc,fit_method
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,8.4721,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.3838,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,4.5911,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.8903,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.7717,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,11.0678,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,4.0343,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.1218,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,9.1823,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.6917,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,8.8922,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,3.4509,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.8967,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.0934,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,10.8977,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,3.2708,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,4.9362,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,4.9512,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.1193,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.1715,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.9815,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,9.6424,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.9095,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.7254,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.3082,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.3916,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.3433,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.5216,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.4014,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,4.3211,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.4814,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,8.9322,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,8.7989,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.7917,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,9.4724,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.9115,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,10.3840,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.1015,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.4269,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,10.0025,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.4719,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.3718,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.3713,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,8.2271,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,8.4421,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.1913,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.7702,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,8.2371,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.3213,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,4.8912,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.1361,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,4.4611,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,14.3086,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,8.0520,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.4819,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,3.5709,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.5316,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.8320,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.4466,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,10.4893,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.3913,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.6154,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.2616,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.3066,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,7.1385,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.1913,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,8.0220,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,8.0120,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.8615,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,6.5216,max_pp
1,db2.h5,-1,-1,100,max_pp_fit.m,b4bd270,lin,lin,5.5114,max_pp
